RegNum,'Form','Genus','Species','Country','State','Precise Location','Latitude','Longitude','Date Collected','Date Registered',Sex,Age
M.1312,SKIN SKULL,Notomys,cervinus,Australia,,Central Australia,,,,1/0/00,,
M.1313,Skin skull,Notomys,mitchelli,Australia,,Central Australia.,,,1/0/00,1/0/00,,
M.1350.001,Skull,Mesembriomys,macrurus,Australia,Western Australia,"Derby, northwestern Australia","17° 23' 24"" S","123° 40' 48"" E",,1/0/00,Male,Young adult
M.14027,skull skeleton,Melomys,burtoni,Australia,Queensland,Eurimbula between Gladstone and Bundaburg,"24° 09' 29"" S","151° 46' 34"" E",,2/4/86,Male,Adult
M.1440,SKIN SKULL,Rattus,norvegicus,Australia,New South Wales,"Mosman Bay, Sydney","33° 50' "" S","151° 15' "" E",,1/0/00,Female,
M.1448,"Skin, Skull in skin",Hydromys,chrysogaster,Australia,New South Wales,Bathurst,"33° 25' "" S","149° 35' "" E",,1/0/00,,
M.14564,Spirit Skull,Melomys,,Australia,Queensland,"Iron Range 165kms NE of Archer River , Cape York","12° 44' "" S","143° 15' "" E",10/5/85,8/1/86,Female,
M.1503,"Skin, Skull in skin",Hydromys,chrysogaster,Australia,New South Wales,Tarana,"33° 32' "" S","149° 55' "" E",,4/16/00,,
M.156,Dry,Uromys,caudimaculatus,Australia,Queensland,QUEENSLAND,"17° 16' "" S","145° 55' "" E",,,Female,
M.1570,SKIN SKULL,Rattus,fuscipes,Australia,New South Wales,"Maroubra, Sydney","33° 57' "" S","151° 15' "" E",,9/9/01,,
M.158,"Mount, skull in situ",Hydromys,chrysogaster,Australia,Queensland,Queensland,"17° 16' "" S","145° 55' "" E",,,,
M.16209,Skull,Hydromys,chrysogaster,Australia,New South Wales,"Lachlan River, above Darbys Falls","33° 57' "" S","148° 53' "" E",9/5/80,9/18/86,,
M.1646,"Skin, Skull in skin",Hydromys,chrysogaster,Australia,New South Wales,Tarana,"33° 32' "" S","149° 55' "" E",,5/5/02,,
M.1673,"Skin, Skull in skin",Hydromys,chrysogaster,Australia,New South Wales,Narrandera,"34° 45' "" S","146° 33' "" E",,7/15/02,Male,
M.1730,SKIN SKULL,Rattus,lutreolus,Australia,Tasmania,HENTY RIVE 600FT,"42° 02' "" S","145° 24' "" E",,10/9/03,Male,
M.17347,Dry,Pseudomys,delicatulus,Australia,Queensland,Port Curtis,"23° 24' "" S","150° 30' "" E",,3/6/87,,
M.1750,"skin, Skull in skin",Hydromys,chrysogaster,Australia,New South Wales,"Careening Cove, North Sydney","33° 51' "" S","151° 13' "" E",,2/10/04,,
M.1770,SKIN SKULL,Rattus,lutreolus,Australia,Tasmania,MAGNET,"41° 26' "" S","145° 28' "" E",,7/6/04,Male,
M.17717,Dry,Rattus,lutreolus,Australia,New South Wales,3 km SW of Wardell,"28° 58' "" S","153° 26' "" E",,1/3/87,,
M.1795,"Skin, Skull in Skin",Hydromys,chrysogaster,Australia,New South Wales,"Randwick, Sydney","33° 55' "" S","151° 15' "" E",,11/10/04,,
M.18065,"Spirit, skin, skull",Notomys,mitchelli,Australia,South Australia,Ooldea,"30° 27' "" S","131° 50' "" E",,11/3/87,Female,Adult
M.18080,"Spirit, skull",Notomys,alexis,Australia,Northern Territory,Hermannsburg,"23° 57' "" S","132° 46' "" E",,11/4/87,Male,Adult
M.18084,"Spirit, skull, skin",Notomys,alexis,Australia,Northern Territory,Hermannsburg,"23° 57' "" S","132° 46' "" E",,11/4/87,Female,Adult
M.18091,Dry,Pseudomys,oralis,Australia,New South Wales,"Mt Boss State Forest, Wauchope.","31° 13' "" S","152° 24' "" E",6/1/82,,,
M.18132,Skin skull,Hydromys,chrysogaster,Australia,New South Wales,"Gwydir River, near Wallanol","29° 30' "" S","149° 42' "" E",10/7/77,12/10/87,Male,Adult
M.1834,SKIN SKULL?,Rattus,rattus,Australia,New South Wales,Colo Vale,"34° 24' "" S","150° 29' "" E",,5/2/06,,
