Reg,RegNum,Scientific Name,Species Common Name,Sex,Collection Locality,Date Collected,Collector,Specimen Notes,Notes,Specimen Form,Specimen Part,Current Location,Age,Stage,Total Length,Hindfoot Length,Ear Length,Unit,Weight,Unit of Weight
C,32067,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",29/05/1980,"Warneke, R M",,"Scarred tail, testes regressed inguinal, slight visceral fat",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,345,36,26,mm,160,grams
C,32069,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",27/06/1980,"Cherry, K A",,"Subcutaneous fat, heavy visceral fat",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,327,35,24,mm,127,grams
C,32072,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",24/06/1980,"Warneke, R M",,"Sheet of fat over dorsum (sub cutaneous), 1mmm thick mesenteric fat",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,352,33,25,mm,163,grams
C,32062,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",29/05/1980,"Warneke, R M",,Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,283,33,24,mm,100,grams
C,32068,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",29/05/1980,"Cherry, K A",,"Testes degressed flaccid discoloured, heavy visceral fat deposits",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,338,32.5,28,mm,166,grams
C,32058,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",29/05/1980,"Cherry, K A",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,290,31,25,mm,67,grams
C,32054,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville (37 33 S, 145 53 E)",20/10/1982,"Craig, S A",,Half eaten,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236305),,,,32.1,,mm,,grams
C,32035,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Arnold Creek track (37 31 S, 145 57 E)",16/07/1980,"Warneke, R M",,Perforate,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,295,33.5,23.5,mm,109,grams
C,32037,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Warneke, R M",,Slight visceral fat,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,307,33,23,mm,105,grams
C,32038,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Warneke, R M",,"Tip missing subcutaneous fat, two cysts in liver",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,295,34,23,mm,160,grams
